go_id	go_name	aspect	n_fg	n_bg	pct_fg	pval	padj	odds_ratio	genes
GO:0003823	antigen binding	molecular_function	11	107	14.1	3.87e-16	0.00e+00	64.011	IGHV1-2,IGHV1-3,IGHV2-5,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-7,IGHV4-4,IGHV6-1,IGHV7-4-1
GO:0002250	adaptive immune response	biological_process	12	472	15.4	2.73e-10	0.00e+00	14.65	IGHD1-1,IGHV1-2,IGHV1-3,IGHV2-5,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-7,IGHV4-4,IGHV6-1,IGHV7-4-1
GO:0016064	immunoglobulin mediated immune response	biological_process	11	73	14.1	4.70e-18	0.00e+00	99.204	IGHV1-2,IGHV1-3,IGHV2-5,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-7,IGHV4-4,IGHV6-1,IGHV7-4-1
GO:0019814	immunoglobulin complex	cellular_component	12	151	15.4	3.90e-16	0.00e+00	48.903	IGHD1-1,IGHV1-2,IGHV1-3,IGHV2-5,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-7,IGHV4-4,IGHV6-1,IGHV7-4-1
GO:0002376	immune system process	biological_process	12	894	15.4	3.12e-07	6.00e-06	7.554	IGHD1-1,IGHV1-2,IGHV1-3,IGHV2-5,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-7,IGHV4-4,IGHV6-1,IGHV7-4-1
GO:0005576	extracellular region	cellular_component	12	2435	15.4	4.25e-03	6.50e-02	2.634	IGHD1-1,IGHV1-2,IGHV1-3,IGHV2-5,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-7,IGHV4-4,IGHV6-1,IGHV7-4-1
GO:0006955	immune response	biological_process	5	518	6.4	4.50e-03	6.50e-02	4.942	IGHV1-2,IGHV2-5,IGHV3-11,IGHV3-13,IGHV3-7
GO:0072562	blood microparticle	cellular_component	2	133	2.6	3.13e-02	9.88e-02	7.512	IGHV3-13,IGHV3-7
GO:0034719	SMN-Sm protein complex	cellular_component	1	15	1.3	3.07e-02	9.88e-02	34.797	SMN1
GO:0032797			1	9	1.3	1.85e-02	9.88e-02	60.904	SMN1
GO:0006353	DNA-templated transcription termination	biological_process	1	12	1.3	2.46e-02	9.88e-02	44.29	SMN1
GO:0097504	Gemini of coiled bodies	cellular_component	1	11	1.3	2.26e-02	9.88e-02	48.721	SMN1
GO:0030018	Z disc	cellular_component	2	130	2.6	3.00e-02	9.88e-02	7.689	KCNE1,SMN1
GO:0002089	lens morphogenesis in camera-type eye	biological_process	1	14	1.3	2.87e-02	9.88e-02	37.475	CRYAA
GO:0060561	apoptotic process involved in morphogenesis	biological_process	1	7	1.3	1.44e-02	9.88e-02	81.21	CRYAA
GO:0070309			1	8	1.3	1.65e-02	9.88e-02	69.607	CRYAA
GO:0007021	tubulin complex assembly	biological_process	1	9	1.3	1.85e-02	9.88e-02	60.904	CRYAA
GO:0048596	embryonic camera-type eye morphogenesis	biological_process	1	15	1.3	3.07e-02	9.88e-02	34.797	CRYAA
GO:0006750	glutathione biosynthetic process	biological_process	1	14	1.3	2.87e-02	9.88e-02	37.475	CRYAA
GO:0086013	membrane repolarization during cardiac muscle cell action potential	biological_process	1	10	1.3	2.06e-02	9.88e-02	54.136	KCNE1
GO:1902260	negative regulation of delayed rectifier potassium channel activity	biological_process	1	7	1.3	1.44e-02	9.88e-02	81.21	KCNE1
GO:0086011	membrane repolarization during action potential	biological_process	1	9	1.3	1.85e-02	9.88e-02	60.904	KCNE1
GO:0043266	regulation of potassium ion transport	biological_process	1	12	1.3	2.46e-02	9.88e-02	44.29	KCNE1
GO:1901381	positive regulation of potassium ion transmembrane transport	biological_process	1	13	1.3	2.66e-02	9.88e-02	40.598	KCNE1
GO:0031433	telethonin binding	molecular_function	1	7	1.3	1.44e-02	9.88e-02	81.21	KCNE1
GO:0086009	membrane repolarization	biological_process	1	14	1.3	2.87e-02	9.88e-02	37.475	KCNE1
GO:0033363	secretory granule organization	biological_process	1	5	1.3	1.03e-02	9.88e-02	121.821	KCNE1
GO:0086003	cardiac muscle cell contraction	biological_process	1	10	1.3	2.06e-02	9.88e-02	54.136	KCNE1
GO:0002070	epithelial cell maturation	biological_process	1	11	1.3	2.26e-02	9.88e-02	48.721	KCNE1
GO:0097623	potassium ion export across plasma membrane	biological_process	1	14	1.3	2.87e-02	9.88e-02	37.475	KCNE1
GO:1902282	voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization	molecular_function	1	11	1.3	2.26e-02	9.88e-02	48.721	KCNE1
GO:0098915	membrane repolarization during ventricular cardiac muscle cell action potential	biological_process	1	12	1.3	2.46e-02	9.88e-02	44.29	KCNE1
GO:0086005	ventricular cardiac muscle cell action potential	biological_process	1	16	1.3	3.27e-02	1.00e-01	32.476	KCNE1
GO:0060307	regulation of ventricular cardiac muscle cell membrane repolarization	biological_process	1	19	1.3	3.87e-02	1.15e-01	27.061	KCNE1
GO:0005212	structural constituent of eye lens	molecular_function	1	24	1.3	4.86e-02	1.29e-01	21.176	CRYAA
GO:0060047	heart contraction	biological_process	1	23	1.3	4.66e-02	1.29e-01	22.139	KCNE1
GO:0005251	delayed rectifier potassium channel activity	molecular_function	1	24	1.3	4.86e-02	1.29e-01	21.176	KCNE1
GO:0086002	cardiac muscle cell action potential involved in contraction	biological_process	1	24	1.3	4.86e-02	1.29e-01	21.176	KCNE1
GO:0000387			1	26	1.3	5.26e-02	1.31e-01	19.481	SMN1
GO:0000245	spliceosomal complex assembly	biological_process	1	26	1.3	5.26e-02	1.31e-01	19.481	SMN1
GO:0042026			1	27	1.3	5.45e-02	1.31e-01	18.731	CRYAA
GO:1901379	regulation of potassium ion transmembrane transport	biological_process	1	27	1.3	5.45e-02	1.31e-01	18.731	KCNE1
GO:0000375	RNA splicing, via transesterification reactions	biological_process	1	30	1.3	6.04e-02	1.42e-01	16.792	SMN1
GO:0042542			1	37	1.3	7.40e-02	1.70e-01	13.524	CRYAA
GO:0009408	response to heat	biological_process	1	41	1.3	8.17e-02	1.83e-01	12.17	CRYAA
GO:0086091	regulation of heart rate by cardiac conduction	biological_process	1	42	1.3	8.36e-02	1.83e-01	11.873	KCNE1
GO:0002088	lens development in camera-type eye	biological_process	1	46	1.3	9.11e-02	1.88e-01	10.817	CRYAA
GO:0007017	microtubule-based process	biological_process	1	46	1.3	9.11e-02	1.88e-01	10.817	CRYAA
GO:0015459	potassium channel regulator activity	molecular_function	1	45	1.3	8.93e-02	1.88e-01	11.063	KCNE1
GO:0006749	glutathione metabolic process	biological_process	1	48	1.3	9.49e-02	1.92e-01	10.356	CRYAA
GO:0071320	cellular response to cAMP	biological_process	1	56	1.3	1.10e-01	2.18e-01	8.848	KCNE1
GO:0005249	voltage-gated potassium channel activity	molecular_function	1	61	1.3	1.19e-01	2.31e-01	8.109	KCNE1
GO:0015030	Cajal body	cellular_component	1	65	1.3	1.26e-01	2.41e-01	7.602	SMN1
GO:0043010	camera-type eye development	biological_process	1	73	1.3	1.41e-01	2.63e-01	6.756	CRYAA
GO:0030307	positive regulation of cell growth	biological_process	1	82	1.3	1.57e-01	2.88e-01	6.004	CRYAA
GO:0036464	cytoplasmic ribonucleoprotein granule	cellular_component	1	87	1.3	1.65e-01	2.88e-01	5.654	SMN1
GO:0042391	regulation of membrane potential	biological_process	1	87	1.3	1.65e-01	2.88e-01	5.654	KCNE1
GO:0008076	voltage-gated potassium channel complex	cellular_component	1	85	1.3	1.62e-01	2.88e-01	5.789	KCNE1
GO:0005267	potassium channel activity	molecular_function	1	89	1.3	1.69e-01	2.89e-01	5.525	KCNE1
GO:0051082	unfolded protein binding	molecular_function	1	110	1.3	2.04e-01	3.44e-01	4.458	CRYAA
GO:0007005	mitochondrion organization	biological_process	1	122	1.3	2.24e-01	3.71e-01	4.015	CRYAA
GO:0007015	actin filament organization	biological_process	1	138	1.3	2.50e-01	4.03e-01	3.544	CRYAA
GO:0044325	transmembrane transporter binding	molecular_function	1	139	1.3	2.51e-01	4.03e-01	3.518	KCNE1
GO:0034702	monoatomic ion channel complex	cellular_component	1	144	1.3	2.59e-01	4.09e-01	3.395	KCNE1
GO:0043204	perikaryon	cellular_component	1	149	1.3	2.67e-01	4.09e-01	3.28	SMN1
GO:0071805	potassium ion transmembrane transport	biological_process	1	152	1.3	2.71e-01	4.09e-01	3.214	KCNE1
GO:0006813	potassium ion transport	biological_process	1	150	1.3	2.68e-01	4.09e-01	3.258	KCNE1
GO:0001666	response to hypoxia	biological_process	1	164	1.3	2.89e-01	4.23e-01	2.977	CRYAA
GO:0007605	sensory perception of sound	biological_process	1	163	1.3	2.88e-01	4.23e-01	2.995	KCNE1
GO:0005886	plasma membrane	cellular_component	13	5366	16.7	3.18e-01	4.55e-01	1.202	IGHD1-1,IGHV1-2,IGHV1-3,IGHV2-5,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-7,IGHV4-4,IGHV6-1,IGHV7-4-1,KCNE1
GO:0005198	structural molecule activity	molecular_function	1	185	1.3	3.20e-01	4.55e-01	2.636	CRYAA
GO:0007601	visual perception	biological_process	1	199	1.3	3.39e-01	4.76e-01	2.448	CRYAA
GO:0045121	membrane raft	cellular_component	1	206	1.3	3.49e-01	4.83e-01	2.364	KCNE1
GO:0050821	protein stabilization	biological_process	1	229	1.3	3.79e-01	5.18e-01	2.124	CRYAA
GO:0010629	negative regulation of gene expression	biological_process	1	269	1.3	4.29e-01	5.78e-01	1.805	CRYAA
GO:0008380	RNA splicing	biological_process	1	294	1.3	4.58e-01	6.09e-01	1.65	SMN1
GO:0043005	neuron projection	cellular_component	1	345	1.3	5.13e-01	6.73e-01	1.404	SMN1
GO:0016604	nuclear body	cellular_component	1	368	1.3	5.36e-01	6.94e-01	1.315	SMN1
GO:0006397	mRNA processing	biological_process	1	378	1.3	5.46e-01	6.98e-01	1.28	SMN1
GO:0016324			1	387	1.3	5.54e-01	7.00e-01	1.25	KCNE1
GO:0034220	monoatomic ion transmembrane transport	biological_process	1	398	1.3	5.64e-01	7.04e-01	1.215	KCNE1
GO:0030424	axon	cellular_component	1	416	1.3	5.80e-01	7.15e-01	1.161	SMN1
GO:0043066	negative regulation of apoptotic process	biological_process	1	495	1.3	6.45e-01	7.75e-01	0.974	CRYAA
GO:0005764	lysosome	cellular_component	1	490	1.3	6.41e-01	7.75e-01	0.984	KCNE1
GO:0007399	nervous system development	biological_process	1	607	1.3	7.19e-01	8.55e-01	0.791	SMN1
GO:0009986			1	653	1.3	7.45e-01	8.65e-01	0.734	KCNE1
GO:0006811	monoatomic ion transport	biological_process	1	643	1.3	7.40e-01	8.65e-01	0.746	KCNE1
GO:0032991	protein-containing complex	cellular_component	1	739	1.3	7.88e-01	8.94e-01	0.647	CRYAA
GO:0006915	apoptotic process	biological_process	1	728	1.3	7.83e-01	8.94e-01	0.657	CRYAA
GO:0042802	identical protein binding	molecular_function	2	1685	2.6	8.70e-01	9.76e-01	0.56	CRYAA,SMN1
GO:0016020	membrane	cellular_component	13	8245	16.7	9.00e-01	9.99e-01	0.712	IGHD1-1,IGHV1-2,IGHV1-3,IGHV2-5,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-7,IGHV4-4,IGHV6-1,IGHV7-4-1,KCNE1
GO:0005615	extracellular space	cellular_component	1	1516	1.3	9.60e-01	1.00e+00	0.309	IGHV3-13
GO:0070062			1	2035	1.3	9.87e-01	1.00e+00	0.227	IGHV3-7
GO:0005829	cytosol	cellular_component	2	5301	2.6	1.00e+00	1.00e+00	0.16	CRYAA,SMN1
GO:0003723	RNA binding	molecular_function	1	1460	1.3	9.55e-01	1.00e+00	0.321	SMN1
GO:0005654	nucleoplasm	cellular_component	2	3847	2.6	9.98e-01	1.00e+00	0.231	CRYAA,SMN1
GO:0005737	cytoplasm	cellular_component	2	7093	2.6	1.00e+00	1.00e+00	0.113	CRYAA,SMN1
GO:0005515	protein binding	molecular_function	3	13448	3.8	1.00e+00	1.00e+00	0.072	CRYAA,KCNE1,SMN1
GO:0042995	cell projection	cellular_component	1	1287	1.3	9.34e-01	1.00e+00	0.366	SMN1
GO:0005634	nucleus	cellular_component	2	6286	2.6	1.00e+00	1.00e+00	0.131	CRYAA,SMN1
GO:0046872	metal ion binding	molecular_function	1	3859	1.3	1.00e+00	1.00e+00	0.113	CRYAA
